time,open,high,low,close,volume
1755642180,113247.92,113282,113193.6,113269.53,2.74473087
1755642120,113133.05,113282,113133.05,113247.93,1.25862412
1755642060,113133.84,113163.28,113100,113133.05,2.48886747
1755642000,113073.25,113185.47,113066,113133.85,4.53501088
1755641940,113065,113093.77,113050,113073.25,2.1590783
1755641880,113203.88,113206.8,113064.99,113065,3.33080776
1755641820,113208.74,113216.05,113194.05,113203.88,2.86321443
1755641760,113205.69,113210.85,113189.47,113208.74,1.58818324
1755641700,113148.89,113223.03,113148.88,113212.72,2.99416216
1755641640,113157.74,113195.38,113148.88,113148.89,2.49125541
1755641580,113140.33,113176.25,113125.59,113157.74,1.78420902
1755641520,113096.57,113156.77,113096.57,113140.33,1.10810109
1755641460,113183.43,113183.48,113089,113096.56,5.82965935
1755641400,113277.4,113288.6,113180.03,113183.45,2.96847215
1755641340,113267.59,113281.6,113252.2,113277.4,1.44167998
1755641280,113263.26,113298.76,113249.11,113267.6,3.26749751
1755641220,113235.79,113263.26,113206.5,113263.26,2.7286461
1755641160,113215.01,113255,113173.54,113235.79,4.79358803
1755641100,113290.05,113313.04,113218.81,113218.81,18.38415665
1755641040,113304.39,113327.72,113271.72,113290.01,1.58179596
1755640980,113265.17,113324.75,113265.17,113290.99,2.71925862
1755640920,113400.03,113428.68,113250.17,113264.17,10.12730208
1755640860,113390.01,113400.12,113390,113400.03,1.38029998
1755640800,113402.35,113402.35,113390,113391.21,2.50011886
1755640740,113392.92,113402.38,113390.56,113402.36,1.41856537
1755640680,113392.92,113392.95,113390.74,113392.93,0.53300428
1755640620,113394.74,113394.78,113390.74,113392.92,0.96114342
1755640560,113399.06,113399.99,113391.2,113394.75,1.56790546
1755640500,113418.64,113418.65,113391.42,113399.08,2.39414499
1755640440,113419.97,113419.98,113415.26,113418.64,0.45964325
1755640380,113428.66,113429.95,113413.24,113419.98,5.77669883
1755640320,113452.29,113452.29,113425.09,113426.93,1.00977383
1755640260,113466.74,113469.58,113452.27,113452.29,0.4119155
1755640200,113458.08,113466.74,113455.37,113466.73,0.52977508
1755640140,113450,113461.7,113449.73,113458.1,1.52709503
1755640080,113418.12,113450,113410.99,113450,1.70515022
1755640020,113425,113425.01,113411.92,113420.09,1.1127144
1755639960,113452.41,113452.42,113421,113425.01,2.39568458
1755639900,113471.06,113492.81,113452.41,113452.41,1.90147603
1755639840,113452.77,113524.98,113452.77,113471.06,4.22984399
1755639780,113515.25,113519.88,113446.01,113452.77,3.32903939
1755639720,113515.63,113515.63,113492.73,113515.25,3.76973049
1755639660,113510.23,113515.63,113510.23,113515.63,0.5084015
1755639600,113515.62,113515.63,113506.12,113510.23,2.21788389
1755639540,113549.91,113549.92,113515.62,113515.63,1.79493648
1755639480,113546.11,113548.96,113541.71,113548.96,1.00435362
1755639420,113518.09,113549.92,113518.08,113546.11,2.36804354
1755639360,113515.6,113518.09,113515.6,113518.08,0.85762959
1755639300,113514.66,113518.09,113510.74,113515.6,4.31089479
1755639240,113514.42,113514.66,113510.55,113514.65,1.33583735
1755639180,113509.99,113514.66,113509.96,113514.43,0.53535794
1755639120,113499.8,113516.05,113496.89,113509.99,3.24000792
1755639060,113508.64,113508.64,113493.75,113497.12,1.1465796
1755639000,113517.65,113520.36,113500,113506.52,0.92727385
1755638940,113505.13,113517.65,113497.99,113517.64,2.46785845
1755638880,113493.38,113508.98,113493.38,113505.13,1.31173851
1755638820,113493.35,113495.05,113490.85,113495.05,1.35975467
1755638760,113462.62,113495.31,113462.62,113493.34,2.27234384
1755638700,113481.24,113483.44,113452.76,113462.63,2.71814738
1755638640,113476.89,113484.78,113466.91,113481,3.21906604
1755638580,113492.21,113492.21,113473.95,113476.89,0.65473606
1755638520,113471.84,113524.63,113471.84,113492.87,2.87336693
1755638460,113457.01,113474.47,113457,113471.84,1.27950475
1755638400,113490.29,113490.29,113454.18,113457.01,4.27608568
1755638340,113524.63,113533.02,113489.73,113490.29,1.2428262
1755638280,113516.93,113524.63,113506.6,113524.63,1.00173114
1755638220,113523.94,113555.02,113516.92,113516.92,2.09638356
1755638160,113461,113523.93,113460.99,113523.93,5.04817646
1755638100,113501.87,113506.36,113454.18,113460.99,1.29693605
1755638040,113512.91,113522.75,113488.16,113501.87,3.12368962
1755637980,113503.41,113512.92,113503.4,113512.92,2.30696267
1755637920,113458.26,113503.41,113458.25,113503.41,1.06262076
1755637860,113475.78,113489.33,113458.26,113458.26,4.25009905
1755637800,113448.08,113476.76,113448.08,113475.78,1.21382139
1755637740,113512.1,113512.1,113445.78,113445.78,8.09414491
1755637680,113532.61,113537.01,113512.08,113512.1,3.2181131
1755637620,113547.44,113573.8,113532.61,113532.61,4.10063996
1755637560,113537.69,113547.45,113537.69,113547.45,0.98570932
1755637500,113551.91,113552.02,113528.52,113537.69,1.68103825
1755637440,113517.45,113555.12,113516.59,113551.91,1.36597293
1755637380,113517.99,113522.8,113503.31,113516.95,3.75700472
1755637320,113505.54,113526.65,113500.01,113519.63,3.96310116
1755637260,113506.6,113514.66,113503.37,113505.53,1.91991076
1755637200,113560.28,113562.12,113503.02,113506.61,2.54320152
1755637140,113515.67,113561.76,113515.64,113560.28,2.18960613
1755637080,113530.4,113530.4,113506.28,113515.67,8.38270871
1755637020,113555.68,113555.68,113529.92,113530.39,3.97440302
1755636960,113513.19,113562.15,113513.18,113555.68,6.57418566
1755636900,113506.42,113530.06,113496.35,113513.19,2.74248788
1755636840,113479.58,113506.42,113479.32,113506.41,2.11770121
1755636780,113463.09,113479.59,113462.13,113479.59,1.05850067
1755636720,113423.26,113478.02,113423.26,113465.49,2.13881619
1755636660,113438.95,113441.95,113412.15,113423.25,2.32287887
1755636600,113476.45,113480.3,113423.25,113438.95,2.3414786
1755636540,113452.47,113484.19,113447.81,113475.74,2.75168132
1755636480,113451.04,113455.36,113448.37,113452.47,1.38051138
1755636420,113421.05,113457.01,113421.04,113451.04,1.92032094
1755636360,113405.87,113445.49,113404.18,113421.05,2.89923114
1755636300,113399.99,113412.32,113372.44,113405.87,7.1846531
1755636240,113402.71,113402.71,113391.47,113400,3.39720264
1755636180,113460.64,113460.64,113400.88,113402.7,2.28266309
